Unnamed: 0,url,Title,author,num_reviews,num_ratings,avg_rating,Nº pages,Publication_year,Series,genres,Awards,places,Rating,mean_norm_rating
68.0,https://www.goodreads.com/book/show/13260207-my-country-tis-of-thee,My Country 'Tis of Thee,Keith Ellison,14,2253,3.53,304,2013,0,Autobiography;Memoir;Politics;Biography;Nonfiction;Religion;Religion;Islam;Biography;Autobiography;Literature;American;Race,,,7.353999999999999,0.16266597938144234
69.0,https://www.goodreads.com/book/show/11472345-deng-xiaoping-and-the-transformation-of-china,Deng Xiaoping and the Transformation of China,Ezra F. Vogel,227,2337,4.43,928,2011,0,History;Cultural;China;Biography;Nonfiction;Politics;Economics;Cultural;Asia;Biography Memoir;History;World History;Politics;Political Science,2.0,,8.974,1.7826659793814423
70.0,https://www.goodreads.com/book/show/9534444-boomerang,Boomerang: Travels in the New Third World,Michael   Lewis,2444,43155,3.89,213,2011,0,Nonfiction;Economics;Business;Economics;Finance;History;Politics;Travel;Audiobook;Writing;Journalism;Currency;Money,1.0,,8.002,0.810665979381443
71.0,https://www.goodreads.com/book/show/2203853.A_Thing_in_Disguise,A Thing in Disguise: The Visionary Life of Joseph Paxton,Kate Colquhoun,5,47,4.19,307,2003,0,Biography;Horticulture;Gardening;Nonfiction;History;European Literature;British Literature,,,8.542000000000002,1.3506659793814435
72.0,https://www.goodreads.com/book/show/17836562-l-americain,L'Americain: A Photojournalist's Life,John Launois,4,20,4.5,416,2013,0,Art;Photography;Art;Autobiography;Memoir;Biography,,,9.1,1.9086659793814427
73.0,https://www.goodreads.com/book/show/166562.Between_a_Rock_and_a_Hard_Place,Between a Rock and a Hard Place,Aron Ralston,1895,20556,3.83,368,2005,0,Nonfiction;Biography;Autobiography;Memoir;Adventure;Adventure;Survival;Biography;Autobiography;Nature;Outdoors;Travel;Biography Memoir;Sports;Sports,1.0,,7.894,0.7026659793814429
75.0,https://www.goodreads.com/book/show/1265536.Cherry,Cherry: A Life of Apsley Cherry-Garrard,Sara Wheeler,38,279,4.08,388,2002,0,Biography;Nonfiction;History;Adventure;Travel;War;Historical;Adventure;Survival;Science;Literature;20th Century,,,8.344000000000001,1.1526659793814429
76.0,https://www.goodreads.com/book/show/6326920-the-accidental-billionaires,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",Ben Mezrich,1619,15492,3.55,255,2009,0,Nonfiction;Business;Biography;History;Science;Technology;Audiobook;Biography Memoir;Computer Science;Computers;Computers;Internet;Business;Entrepreneurship,,"Harvard University, Cambridge, Massachusetts;Palo Alto, California",7.39,0.19866597938144237
77.0,https://www.goodreads.com/book/show/6619972-d-jo-o-iii,D. João III,Ana Isabel Buescu,2,13,4.23,344,2005,1,Cultural;Portugal;History;Biography,,,8.614,1.4226659793814436
78.0,https://www.goodreads.com/book/show/18716709-john-ford,John Ford: Poet In the Desert,Joseph Malham,3,11,4.27,331,2013,0,Biography,,,8.686,1.494665979381442
79.0,https://www.goodreads.com/book/show/20892319-enjoying-research-from-canada-to-argentina,Enjoying Research from Canada to Argentina: Autobiography of a Biomedical Investigator,Christiane Dosne Pasqualini,3,5,4.8,,2014,0,,,,9.64,2.4486659793814427
80.0,https://www.goodreads.com/book/show/19741518-winnie-davis,Winnie Davis: Daughter of the Lost Cause,Heath Hardage Lee,26,79,4.01,248,2014,0,History;Biography;Nonfiction;North American Hi...;American History,,,8.218,1.0266659793814423
81.0,https://www.goodreads.com/book/show/120417.The_Sky_Is_Not_the_Limit,The Sky Is Not the Limit: Adventures of an Urban Astrophysicist,Neil deGrasse Tyson,132,1264,4.13,203,2004,0,Science;Nonfiction;Biography;Science;Astronomy;Autobiography;Memoir;Science;Physics;Biography;Autobiography;Space;Biography Memoir;Science;Popular Science,,,8.434,1.2426659793814425
82.0,https://www.goodreads.com/book/show/18301815-a-stone-for-benjamin,A Stone for Benjamin,Fiona  Gold Kroll,8,26,4.15,98,2013,0,Nonfiction;World War II;Holocaust,,,8.47,1.2786659793814434
83.0,https://www.goodreads.com/book/show/1561596.The_One_Best_Way,The One Best Way: Frederick Winslow Taylor and the Enigma of Efficiency,Robert Kanigel,10,88,4.0,704,1999,0,History;Biography;Business;Nonfiction;Economics;Science;Business;Management,,,8.2,1.0086659793814428
84.0,https://www.goodreads.com/book/show/479738.Theodora,Theodora: Empress of Byzantium,Paolo Cesaretti,21,130,3.72,400,2004,0,History;Nonfiction;Biography;Biography Memoir;Historical,,,7.696,0.5046659793814432
86.0,https://www.goodreads.com/book/show/8899117-life-in-the-slipstream,Life in the Slipstream: The Legend of Bobby Walthour Sr.,Andrew M. Homan,5,19,4.21,280,2011,0,,,,8.578,1.3866659793814426
87.0,https://www.goodreads.com/book/show/8745865-van-gogh-struggle-success,Van Gogh Struggle & Success,Fred Leeman,2,11,4.09,180,2013,0,,,,8.361999999999998,1.1706659793814425
88.0,https://www.goodreads.com/book/show/239356.Huey_Long,Huey Long,T. Harry Williams,111,1878,4.21,944,1981,0,Biography;History;Politics;Nonfiction;North American Hi...;American History;Literature;American;Biography Memoir;Race;Classics;Biography;Autobiography,2.0,Louisiana,8.578,1.3866659793814426
90.0,https://www.goodreads.com/book/show/9714931-vita-del-lappone,Vita del lappone,Johan Turi,9,44,4.05,296,1991,0,Nonfiction;History,,,8.29,1.0986659793814424
91.0,https://www.goodreads.com/book/show/264477.Ludwig_Boltzmann,Ludwig Boltzmann: The Man Who Trusted Atoms,Carlo Cercignani,2,30,3.7,348,2006,0,Science;Biography;Science;Physics,,,7.66,0.46866597938144305
92.0,https://www.goodreads.com/book/show/829313.Miles,Miles: The Autobiography,Miles Davis,730,13197,4.2,448,1990,0,Music;Biography;Nonfiction;Music;Jazz;Biography;Autobiography;Autobiography;Memoir;History;Biography Memoir;Cultural;African American;Art,1.0,,8.56,1.368665979381443
93.0,https://www.goodreads.com/book/show/21265949-spitfire-girl,Spitfire Girl,Jackie Moggridge,29,240,4.23,320,2014,0,Nonfiction;History;War;World War II;Biography;Biography;Autobiography;Aviation;Autobiography;Memoir,,"Pretoria;Rye, East Sussex, England;Hatfield, Hertfordshire, England;…more;Hamble-le-Rice, Hampshire, England;Taunton, Somerset, England;Hawarden, Wales;Nicosia;Habbaniyah;Shaibah Air Base;Calcutta;Beirut;London, England;Tel Aviv;Diyarbakır;Andimeshk;Abadan, Khuzestan;Bandar Abbas;Sharjah;Karachi;Jodhpur, Rajasthan;Kyaukpyu;Yangon;Oxfordshire, England;…less",8.614,1.4226659793814436
94.0,https://www.goodreads.com/book/show/421755.Disraeli,Disraeli,Robert Blake,21,174,4.17,830,1998,0,Biography;History;Nonfiction;Politics;European Literature;British Literature;History;European History;Literature;19th Century;Law;Biography Memoir,,,8.506,1.3146659793814426
95.0,https://www.goodreads.com/book/show/25584875-kimjongilia,Kimjongilia,Victor  Fox,20,293,3.71,360,2015,0,Historical;Historical Fiction;Novels;Fiction;Romance,,,7.678,0.4866659793814426
96.0,https://www.goodreads.com/book/show/17695443-een-overwinning-op-de-zwaartekracht,Een overwinning op de zwaartekracht,Joe    Jackson,50,415,4.18,399,2013,0,Music;Nonfiction;Biography;Biography;Autobiography;Autobiography;Memoir,,,8.524000000000001,1.3326659793814422
97.0,https://www.goodreads.com/book/show/3608969-walter-albertina-sisulu,Walter & Albertina Sisulu,Elinor Sisulu,8,38,4.05,672,2011,0,Southern Africa;South Africa;Biography;Cultural;Africa;Politics;History,2.0,,8.29,1.0986659793814424
98.0,https://www.goodreads.com/book/show/25131262-jan-el-genio-humilde,Jan. El Genio Humilde,Javier Alcázar,2,3,4.67,416,2014,0,Sequential Art;Comics,,,9.405999999999999,2.2146659793814427
,url,title,author,num_reviews,num_ratings,,num_pages,original_publish_year,series,genres,1.0,places,,
0.0,https://www.goodreads.com/book/show/13726577-paramhansa-yogananda,Paramhansa Yogananda: A Biography with Personal Reflections and Reminiscences,Kriyananda,12,74,4.39,344,2012,0,Biography,,,8.902,1.7106659793814423
1.0,https://www.goodreads.com/book/show/27249582-revival---the-donald-braswell-story,Revival - The Donald Braswell Story,Mark Koopmans,5,9,4.89,236,2015,0,Inspirational;Autobiography;Memoir,,,9.802,2.610665979381442
2.0,https://www.goodreads.com/book/show/17287065-woman-rebel,Woman Rebel: The Margaret Sanger Story,Peter Bagge,280,1670,3.83,104,2013,0,Sequential Art;Graphic Novels;Biography;Sequential Art;Comics;Nonfiction;Feminism;History;Historical;Politics;Graphic Novels Comics;Biography Memoir,1.0,,7.894,0.7026659793814429
3.0,https://www.goodreads.com/book/show/27387954-the-ten-count,The Ten Count,Jeff Darwin,0,1,4.0,,2015,0,,,,8.2,1.0086659793814428
4.0,https://www.goodreads.com/book/show/518866.Benjamin_Graham_the_Memoirs_of_the_Dean_of_Wall_Street,Benjamin Graham the Memoirs of the Dean of Wall Street,Benjamin Graham,9,177,4.36,351,1996,0,Biography;Economics;Finance;Nonfiction;Business;History,,,8.848,1.6566659793814433
5.0,https://www.goodreads.com/book/show/27424051-f-i-g-h-t,F.I.G.H.T.: Family Inspires Great Hope Together: How We Fight,Joe Bagnato,9,16,4.81,242,2015,0,,,,9.658,2.466665979381442
6.0,https://www.goodreads.com/book/show/27825921-safety-in-numbers,"Safety in Numbers: From 56 to 221 Pounds, My Battle with Eating Disorders",Brittany Burgunder,31,255,3.64,450,2016,0,Nonfiction;Autobiography;Memoir;Psychology;Mental Health;Mental Illness;Health;Mental Health;Biography Memoir,,,7.552,0.36066597938144296
7.0,https://www.goodreads.com/book/show/18635335-ecology-or-catastrophe,Ecology or Catastrophe: The Life of Murray Bookchin,Janet Biehl,17,65,4.35,325,2015,0,Biography;Politics;Nonfiction;Environment;Philosophy,,,8.829999999999998,1.6386659793814422
8.0,https://www.goodreads.com/book/show/27428153-levant-fever,Levant Fever: True Stories from Syria's Underground,Wajdy Mustafa,7,58,3.9,289,2015,0,Biography,,,8.02,0.8286659793814426
9.0,https://www.goodreads.com/book/show/880614.If_I_Don_t_Write_it_Nobody_Else_Will,If I Don't Write it Nobody Else Will,Eric Sykes,24,179,3.89,512,2006,0,Biography;Nonfiction;Biography;Autobiography;Humor;Comedy;Biography Memoir;Humor,,,8.002,0.810665979381443
10.0,https://www.goodreads.com/book/show/22753975-in-the-belly-of-the-elephant,In the Belly of the Elephant,Susan Corbett,11,31,4.1,291,2013,0,Nonfiction;Autobiography;Memoir,,,8.379999999999999,1.188665979381442
11.0,https://www.goodreads.com/book/show/25894033-orson-welles-vol-3,"Orson Welles, Vol. 3: One-Man Band",Simon Callow,27,142,4.44,496,2016,1,Biography;Culture;Film;History;Nonfiction;Art;Media Tie In,,,8.992,1.8006659793814435
12.0,https://www.goodreads.com/book/show/28561809-intended-for-evil,"Intended for Evil: A Survivor's Story of Love, Faith, and Courage in the Cambodian Killing Fields",Les Sillars,24,90,4.37,309,2016,0,History;Biography;Nonfiction;Autobiography;Memoir,,,8.866,1.6746659793814431
13.0,https://www.goodreads.com/book/show/26371412-becoming-jane-jacobs,Becoming Jane Jacobs,Peter L. Laurence,7,20,4.05,376,2016,1,Biography;History;Nonfiction;Cities;Urbanism;Architecture,,,8.29,1.0986659793814424
15.0,https://www.goodreads.com/book/show/24789313-the-legendary-life-of-bee-ho-gray,The Legendary Life of Bee Ho Gray,Clark Gray,0,8,4.75,288,2014,0,History,,,9.549999999999999,2.358665979381443
